trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
67	14	2	oorlog	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
67	14	2	oorlog	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
68	14	3	correct	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
68	14	3	correct	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
68	14	3	correct	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
69	14	4	klont	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
69	14	4	klont	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
69	14	4	klont	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
70	14	5	einde	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
70	14	5	einde	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
70	14	5	einde	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0010001000100010	0000000000000000	0	0	4	0
71	15	1	wekken	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
71	15	1	wekken	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
71	15	1	wekken	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
72	15	2	huwelijk	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
72	15	2	huwelijk	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
72	15	2	huwelijk	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
73	15	3	schaar	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
73	15	3	schaar	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	1001010000000010	0000000000000000	0	0	4	0
